dish,file,source_post,dimensions
aalu samosa,aalu-samosa--ig-DPBx3J6CI7E.jpg,https://www.instagram.com/p/DPBx3J6CI7E/,940x788
badam rabdi,badam-rabdi--ig-DN-1OlijJpg.jpg,https://www.instagram.com/p/DN-1OlijJpg/,1080x1080
badam rabdi,badam-rabdi-2--ig-DLaCWGzPkJB.jpg,https://www.instagram.com/p/DLaCWGzPkJB/,1080x1080
bagare baigan,bagare-baigan--ig-DO8oP6rCGKl.jpg,https://www.instagram.com/p/DO8oP6rCGKl/,940x788
chicken 65,chicken-65--ig-DPOp4dWjSsb.jpg,https://www.instagram.com/p/DPOp4dWjSsb/,940x788
chicken 65,chicken-65-2--ig-DNayJYVO0fP.jpg,https://www.instagram.com/p/DNayJYVO0fP/,1080x1080
chicken biryani,chicken-biryani--ig-DXm7SP1FewY.jpg,https://www.instagram.com/p/DXm7SP1FewY/,1080x1350
chicken curry,chicken-curry--ig-DZBJaTIDdq7.jpg,https://www.instagram.com/p/DZBJaTIDdq7/,1080x1080
chicken curry,chicken-curry-2--ig-DS3Txj5DT0L.jpg,https://www.instagram.com/p/DS3Txj5DT0L/,1080x1080
chicken hariyali kabab,chicken-hariyali-kabab--ig-DVR8Qanj3rr.jpg,https://www.instagram.com/p/DVR8Qanj3rr/,1080x1350
chicken hariyali kabab,chicken-hariyali-kabab-2--ig-DTJFsOFDJlB.jpg,https://www.instagram.com/p/DTJFsOFDJlB/,1080x1080
chicken karachi biryani,chicken-karachi-biryani--ig-DIWV6sbsM-C.jpg,https://www.instagram.com/p/DIWV6sbsM-C/,1080x1350
chicken karachi biryani,chicken-karachi-biryani-2--ig-C0O4dcxqY1Q.jpg,https://www.instagram.com/p/C0O4dcxqY1Q/,1080x1080
chicken malai kabab,chicken-malai-kabab--ig-DZ5-BrWj3ZG.jpg,https://www.instagram.com/p/DZ5-BrWj3ZG/,1080x1350
chicken malai kabab,chicken-malai-kabab-2--ig-DUd1H5CD-EE.jpg,https://www.instagram.com/p/DUd1H5CD-EE/,1080x1350
